Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,9351,0.594280266920877,15735
Basilicata,3973,0.50259329538266917,7905
Calabria,7158,0.27928209129925868,25630
Campania,40121,0.59864219635929572,67020
Emilia-Romagna,52163,0.59445014245014249,87750
Friuli-Venezia Giulia,9381,0.38072240259740259,24640
Lazio,56080,0.639234013450359,87730
Liguria,15897,0.52044524472090359,30545
Lombardia,45026,0.29290918553213635,153720
Marche,10659,0.60050704225352114,17750
Molise,2080,0.42233502538071066,4925
P.A. Bolzano,4135,0.29974628488582822,13795
P.A. Trento,4709,0.47807106598984772,9850
Piemonte,35999,0.43471802922352371,82810
Puglia,24842,0.51454018227009113,48280
Sardegna,8269,0.42017276422764227,19680
Sicilia,48275,0.61352227235178247,78685
Toscana,37213,0.71159766708098293,52295
Umbria,6142,0.62450432130147437,9835
Valle d'Aosta,681,0.34568527918781727,1970
Veneto,54757,0.7029139922978177,77900
