Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,9429,0.59923736892278356,15735
Basilicata,4075,0.51549652118912082,7905
Calabria,8280,0.32305891533359343,25630
Campania,50427,0.75241718889883613,67020
Emilia-Romagna,56756,0.64679202279202275,87750
Friuli-Venezia Giulia,11527,0.46781655844155845,24640
Lazio,56563,0.64473954177590331,87730
Liguria,16023,0.52457030610574562,30545
Lombardia,47313,0.30778688524590164,153720
Marche,10659,0.60050704225352114,17750
Molise,2509,0.50944162436548224,4925
P.A. Bolzano,4525,0.32801739760782894,13795
P.A. Trento,6925,0.70304568527918787,9850
Piemonte,36526,0.44108199492814876,82810
Puglia,29650,0.61412593206296606,48280
Sardegna,9713,0.49354674796747966,19680
Sicilia,51667,0.656630869924382,78685
Toscana,37213,0.71159766708098293,52295
Umbria,6142,0.62450432130147437,9835
Valle d'Aosta,980,0.49746192893401014,1970
Veneto,55922,0.71786906290115537,77900
