Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,10835,0.688592310136638,15735
Basilicata,4537,0.57394054395951932,7905
Calabria,10061,0.39254779555208741,25630
Campania,60001,0.895270068636228,67020
Emilia-Romagna,61570,0.7016524216524217,87750
Friuli-Venezia Giulia,11527,0.46781655844155845,24640
Lazio,62504,0.712458680041035,87730
Liguria,16830,0.55099034211818632,30545
Lombardia,58310,0.37932604735883424,153720
Marche,12370,0.69690140845070425,17750
Molise,2958,0.60060913705583752,4925
P.A. Bolzano,4795,0.34758970641536791,13795
P.A. Trento,7117,0.72253807106598988,9850
Piemonte,43068,0.5200821156865113,82810
Puglia,29722,0.61561723280861635,48280
Sardegna,13642,0.69319105691056915,19680
Sicilia,58584,0.7445383491135541,78685
Toscana,41800,0.79931159766708093,52295
Umbria,7706,0.78352821555668528,9835
Valle d'Aosta,1423,0.7223350253807107,1970
Veneto,63690,0.817586649550706,77900
