Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,14816,0.60448796409628724,24510
Basilicata,4787,0.40550614146548075,11805
Calabria,12781,0.3253818737270876,39280
Campania,78560,0.77670670819121068,101145
Emilia-Romagna,84890,0.64493827160493822,131625
Friuli-Venezia Giulia,18628,0.49920943320380545,37315
Lazio,76884,0.5799064715643385,132580
Liguria,21637,0.45918930390492357,47120
Lombardia,99323,0.42329050267425261,234645
Marche,16182,0.58843636363636365,27500
Molise,4120,0.46685552407932013,8825
P.A. Bolzano,7746,0.37565470417070806,20620
P.A. Trento,7381,0.47012738853503183,15700
Piemonte,67333,0.54406108597285063,123760
Puglia,40128,0.53787279672944177,74605
Sardegna,18325,0.54980498049804982,33330
Sicilia,67772,0.54008048770769412,125485
Toscana,53394,0.66270323941913867,80570
Umbria,10945,0.69780044628626081,15685
Valle d'Aosta,2260,0.576530612244898,3920
Veneto,79785,0.68250641573994864,116900
