Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,5183,0.43793831854668358,11835
Basilicata,2871,0.36318785578747625,7905
Calabria,2924,0.11408505657432697,25630
Campania,23648,0.41292125021826437,57270
Emilia-Romagna,28009,0.47093736864228669,59475
Friuli-Venezia Giulia,6585,0.33316468504932961,19765
Lazio,37970,0.61835355427082483,61405
Liguria,8382,0.29312816926036023,28595
Lombardia,19536,0.17785060767445035,109845
Marche,5075,0.32120253164556961,15800
Molise,806,0.16365482233502537,4925
P.A. Bolzano,2343,0.336154949784792,6970
P.A. Trento,4315,0.6231046931407942,6925
Piemonte,22691,0.36980117340286833,61360
Puglia,16679,0.52606844346317616,31705
Sardegna,2255,0.11458333333333333,19680
Sicilia,29258,0.37183707186884413,78685
Toscana,20971,0.65905091137649274,31820
Umbria,3759,0.3822064056939502,9835
Valle d'Aosta,336,0.17055837563451776,1970
Veneto,28711,0.65587664191890349,43775
