Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,10835,0.688592310136638,15735
Basilicata,4495,0.56862745098039214,7905
Calabria,10061,0.39254779555208741,25630
Campania,50427,0.75241718889883613,67020
Emilia-Romagna,61570,0.7016524216524217,87750
Friuli-Venezia Giulia,11527,0.46781655844155845,24640
Lazio,62469,0.712059728713097,87730
Liguria,16444,0.53835324930430517,30545
Lombardia,58058,0.37768670309653918,153720
Marche,12370,0.69690140845070425,17750
Molise,2958,0.60060913705583752,4925
P.A. Bolzano,4795,0.34758970641536791,13795
P.A. Trento,7117,0.72253807106598988,9850
Piemonte,43068,0.5200821156865113,82810
Puglia,29722,0.61561723280861635,48280
Sardegna,13216,0.67154471544715444,19680
Sicilia,57664,0.73284615873419334,78685
Toscana,41800,0.79931159766708093,52295
Umbria,7583,0.771021860701576,9835
Valle d'Aosta,980,0.49746192893401014,1970
Veneto,63525,0.81546854942233638,77900
