Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,16915,0.69012647898816815,24510
Basilicata,5744,0.41759360232642673,13755
Calabria,13955,0.35526985743380857,39280
Campania,86598,0.85617677591576447,101145
Emilia-Romagna,93008,0.706613485280152,131625
Friuli-Venezia Giulia,23420,0.62762963955513873,37315
Lazio,81911,0.61782320108613664,132580
Liguria,24695,0.52408743633276744,47120
Lombardia,122759,0.5231690425962624,234645
Marche,17494,0.63614545454545457,27500
Molise,4532,0.51354107648725211,8825
P.A. Bolzano,9487,0.46008729388942776,20620
P.A. Trento,8204,0.522547770700637,15700
Piemonte,77651,0.62743212669683257,123760
Puglia,43781,0.58683734334159909,74605
Sardegna,18897,0.56696669666966693,33330
Sicilia,79889,0.636641829700761,125485
Toscana,57223,0.710227131686732,80570
Umbria,11449,0.72993305706088618,15685
Valle d'Aosta,2602,0.66377551020408165,3920
Veneto,85600,0.73224978614200176,116900
