Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,2181,0.27485822306238183,7935
Basilicata,1912,0.38393574297188754,4980
Calabria,453,0.034967194133539173,12955
Campania,10745,0.31724239740183052,33870
Emilia-Romagna,8254,0.18812535612535614,43875
Friuli-Venezia Giulia,3471,0.29009611366485583,11965
Lazio,25470,0.5560528326601899,45805
Liguria,3739,0.23486180904522613,15920
Lombardia,6116,0.0758856008437248,80595
Marche,2084,0.23220055710306406,8975
Molise,50,0.01680672268907563,2975
P.A. Bolzano,1490,0.24854045037531275,5995
P.A. Trento,2768,0.5563819095477387,4975
Piemonte,12722,0.31116546410664059,40885
Puglia,6964,0.26934828853219878,25855
Sardegna,392,0.030493971217425125,12855
Sicilia,11636,0.25018275639647386,46510
Toscana,10545,0.37768624641833809,27920
Umbria,2057,0.41471774193548389,4960
Valle d'Aosta,44,0.044221105527638194,995
Veneto,15787,0.40583547557840616,38900
