Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,349,0.043982356647763073,7935
Basilicata,225,0.045180722891566265,4980
Calabria,279,0.021536086453106909,12955
Campania,3111,0.091851195748449951,33870
Emilia-Romagna,4301,0.098028490028490026,43875
Friuli-Venezia Giulia,1948,0.16280819055578771,11965
Lazio,11566,0.25250518502346908,45805
Liguria,1670,0.10489949748743718,15920
Lombardia,2416,0.029977045722439356,80595
Marche,499,0.055598885793871865,8975
Molise,50,0.01680672268907563,2975
P.A. Bolzano,1037,0.17297748123436196,5995
P.A. Trento,1730,0.34773869346733666,4975
Piemonte,6024,0.14734010028127675,40885
Puglia,3481,0.13463546702765422,25855
Sardegna,242,0.01882535978218592,12855
Sicilia,2471,0.053128359492582239,46510
Toscana,3579,0.12818767908309456,27920
Umbria,980,0.19758064516129031,4960
Valle d'Aosta,38,0.03819095477386935,995
Veneto,6041,0.15529562982005141,38900
