Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,13404,0.68265851795263555,19635
Basilicata,4619,0.39127488352393053,11805
Calabria,12540,0.48927038626609443,25630
Campania,72103,0.97641004807366782,73845
Emilia-Romagna,76076,0.77254125412541252,98475
Friuli-Venezia Giulia,18628,0.70056412185031969,26590
Lazio,71575,0.75696684469356457,94555
Liguria,19353,0.57821930086644757,33470
Lombardia,83766,0.5380998265561765,155670
Marche,14489,0.81628169014084506,17750
Molise,3772,0.48050955414012742,7850
P.A. Bolzano,6078,0.29476236663433558,20620
P.A. Trento,7381,0.74934010152284269,9850
Piemonte,57292,0.69184881053012925,82810
Puglia,36808,0.49337175792507204,74605
Sardegna,17158,0.87184959349593494,19680
Sicilia,66799,0.84894198385969366,78685
Toscana,49716,0.95068362176116261,52295
Umbria,10057,1.0225724453482461,9835
Valle d'Aosta,1969,0.999492385786802,1970
Veneto,75214,0.96551989730423615,77900
