Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,2289,0.288468809073724,7935
Basilicata,2007,0.40301204819277109,4980
Calabria,677,0.052257815515245082,12955
Campania,10745,0.31724239740183052,33870
Emilia-Romagna,8254,0.18812535612535614,43875
Friuli-Venezia Giulia,4963,0.41479314667781025,11965
Lazio,28134,0.614212422224648,45805
Liguria,4801,0.301570351758794,15920
Lombardia,8082,0.10027917364600782,80595
Marche,2385,0.26573816155988855,8975
Molise,50,0.01680672268907563,2975
P.A. Bolzano,1490,0.24854045037531275,5995
P.A. Trento,2768,0.5563819095477387,4975
Piemonte,17473,0.42736945089886269,40885
Puglia,10413,0.40274608392960742,25855
Sardegna,965,0.0750680669000389,12855
Sicilia,13170,0.283164910771877,46510
Toscana,15644,0.5603151862464183,27920
Umbria,2057,0.41471774193548389,4960
Valle d'Aosta,186,0.18693467336683417,995
Veneto,21626,0.55593830334190231,38900
