Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,15368,0.62700938392492855,24510
Basilicata,4787,0.40550614146548075,11805
Calabria,12781,0.3253818737270876,39280
Campania,78560,0.77670670819121068,101145
Emilia-Romagna,84890,0.64493827160493822,131625
Friuli-Venezia Giulia,18628,0.49920943320380545,37315
Lazio,76895,0.57998944033790922,132580
Liguria,21637,0.45918930390492357,47120
Lombardia,100476,0.42820430863645081,234645
Marche,16182,0.58843636363636365,27500
Molise,4120,0.46685552407932013,8825
P.A. Bolzano,7746,0.37565470417070806,20620
P.A. Trento,7381,0.47012738853503183,15700
Piemonte,67333,0.54406108597285063,123760
Puglia,40128,0.53787279672944177,74605
Sardegna,18325,0.54980498049804982,33330
Sicilia,69448,0.55343666573694072,125485
Toscana,53394,0.66270323941913867,80570
Umbria,10945,0.69780044628626081,15685
Valle d'Aosta,2270,0.57908163265306123,3920
Veneto,80440,0.688109495295124,116900
