Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,9351,0.594280266920877,15735
Basilicata,4075,0.51549652118912082,7905
Calabria,8280,0.32305891533359343,25630
Campania,50427,0.75241718889883613,67020
Emilia-Romagna,52163,0.59445014245014249,87750
Friuli-Venezia Giulia,11527,0.46781655844155845,24640
Lazio,56338,0.6421748546677305,87730
Liguria,15897,0.52044524472090359,30545
Lombardia,46257,0.30091725214676035,153720
Marche,10659,0.60050704225352114,17750
Molise,2509,0.50944162436548224,4925
P.A. Bolzano,4135,0.29974628488582822,13795
P.A. Trento,5337,0.54182741116751265,9850
Piemonte,36526,0.44108199492814876,82810
Puglia,29650,0.61412593206296606,48280
Sardegna,9641,0.4898882113821138,19680
Sicilia,51558,0.65524559954247952,78685
Toscana,37213,0.71159766708098293,52295
Umbria,6142,0.62450432130147437,9835
Valle d'Aosta,980,0.49746192893401014,1970
Veneto,55922,0.71786906290115537,77900
