Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,10702,0.68013981569748971,15735
Basilicata,4450,0.56293485135989885,7905
Calabria,9732,0.37971127584861492,25630
Campania,50427,0.75241718889883613,67020
Emilia-Romagna,56756,0.64679202279202275,87750
Friuli-Venezia Giulia,11527,0.46781655844155845,24640
Lazio,61392,0.69978342642197655,87730
Liguria,16444,0.53835324930430517,30545
Lombardia,56215,0.36569737184491286,153720
Marche,12358,0.69622535211267611,17750
Molise,2958,0.60060913705583752,4925
P.A. Bolzano,4795,0.34758970641536791,13795
P.A. Trento,7117,0.72253807106598988,9850
Piemonte,42090,0.50827194783238738,82810
Puglia,29722,0.61561723280861635,48280
Sardegna,11147,0.56641260162601625,19680
Sicilia,54211,0.68896231810383168,78685
Toscana,41724,0.79785830385314083,52295
Umbria,7583,0.771021860701576,9835
Valle d'Aosta,980,0.49746192893401014,1970
Veneto,63525,0.81546854942233638,77900
