Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,5835,0.49302915082382764,11835
Basilicata,3091,0.39101834282099934,7905
Calabria,4030,0.15723761217323448,25630
Campania,31273,0.54606251091321811,57270
Emilia-Romagna,31786,0.5344430432955023,59475
Friuli-Venezia Giulia,7293,0.36898558057171771,19765
Lazio,41242,0.67163911733572179,61405
Liguria,9109,0.31855219443958732,28595
Lombardia,23749,0.21620465200964997,109845
Marche,6984,0.4420253164556962,15800
Molise,1473,0.29908629441624368,4925
P.A. Bolzano,2343,0.336154949784792,6970
P.A. Trento,4357,0.62916967509025268,6925
Piemonte,25690,0.41867666232073014,61360
Puglia,19191,0.60529884876202489,31705
Sardegna,3635,0.18470528455284552,19680
Sicilia,35361,0.44939950435279913,78685
Toscana,25411,0.798585795097423,31820
Umbria,3759,0.3822064056939502,9835
Valle d'Aosta,402,0.20406091370558377,1970
Veneto,36929,0.8436093660765277,43775
