Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,17643,0.719828641370869,24510
Basilicata,5842,0.424718284260269,13755
Calabria,15460,0.39358452138492872,39280
Campania,86598,0.85617677591576447,101145
Emilia-Romagna,96762,0.73513390313390314,131625
Friuli-Venezia Giulia,23420,0.62762963955513873,37315
Lazio,85710,0.646477598431136,132580
Liguria,27656,0.58692699490662137,47120
Lombardia,136912,0.58348569115046134,234645
Marche,19460,0.70763636363636362,27500
Molise,4592,0.52033994334277622,8825
P.A. Bolzano,10932,0.530164888457808,20620
P.A. Trento,8472,0.53961783439490441,15700
Piemonte,77651,0.62743212669683257,123760
Puglia,47674,0.63901883251792779,74605
Sardegna,19708,0.59129912991299127,33330
Sicilia,79940,0.63704825277921662,125485
Toscana,60723,0.75366761822018125,80570
Umbria,12001,0.765125916480714,15685
Valle d'Aosta,2630,0.67091836734693877,3920
Veneto,90892,0.777519247219846,116900
