Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,14501,0.73852813852813848,19635
Basilicata,4739,0.401440067767895,11805
Calabria,12781,0.49867342957471711,25630
Campania,73266,0.99215925248832015,73845
Emilia-Romagna,80026,0.81265295760345269,98475
Friuli-Venezia Giulia,18628,0.70056412185031969,26590
Lazio,75896,0.80266511554121944,94555
Liguria,20548,0.61392291604421867,33470
Lombardia,91145,0.58550138112674244,155670
Marche,14489,0.81628169014084506,17750
Molise,3784,0.48203821656050955,7850
P.A. Bolzano,7692,0.37303588748787586,20620
P.A. Trento,7381,0.74934010152284269,9850
Piemonte,57292,0.69184881053012925,82810
Puglia,40128,0.53787279672944177,74605
Sardegna,17737,0.901270325203252,19680
Sicilia,66847,0.84955201118383428,78685
Toscana,53047,1.0143799598431973,52295
Umbria,10927,1.1110320284697508,9835
Valle d'Aosta,1969,0.999492385786802,1970
Veneto,79785,1.0241976893453144,77900
