Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,9262,0.58862408643152209,15735
Basilicata,3973,0.50259329538266917,7905
Calabria,7115,0.27760436987904796,25630
Campania,40121,0.59864219635929572,67020
Emilia-Romagna,46033,0.52459259259259261,87750
Friuli-Venezia Giulia,9381,0.38072240259740259,24640
Lazio,55283,0.63014932178274252,87730
Liguria,15017,0.49163529219184809,30545
Lombardia,43058,0.28010668748373668,153720
Marche,10659,0.60050704225352114,17750
Molise,2080,0.42233502538071066,4925
P.A. Bolzano,3939,0.56513629842180779,6970
P.A. Trento,4709,0.28239880059970013,16675
Piemonte,30602,0.36954474097331241,82810
Puglia,24842,0.51454018227009113,48280
Sardegna,7207,0.36620934959349594,19680
Sicilia,44211,0.561873292241215,78685
Toscana,36131,0.69090735251936131,52295
Umbria,6142,0.62450432130147437,9835
Valle d'Aosta,681,0.34568527918781727,1970
Veneto,54757,0.7029139922978177,77900
