Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,17643,0.719828641370869,24510
Basilicata,5842,0.424718284260269,13755
Calabria,15460,0.39358452138492872,39280
Campania,86598,0.85617677591576447,101145
Emilia-Romagna,93008,0.706613485280152,131625
Friuli-Venezia Giulia,23420,0.62762963955513873,37315
Lazio,84594,0.638060039221602,132580
Liguria,25805,0.547644312393888,47120
Lombardia,132439,0.56442285154169058,234645
Marche,18326,0.6664,27500
Molise,4592,0.52033994334277622,8825
P.A. Bolzano,10753,0.52148399612027163,20620
P.A. Trento,8472,0.53961783439490441,15700
Piemonte,77651,0.62743212669683257,123760
Puglia,47674,0.63901883251792779,74605
Sardegna,19318,0.57959795979597961,33330
Sicilia,79940,0.63704825277921662,125485
Toscana,57223,0.710227131686732,80570
Umbria,12001,0.765125916480714,15685
Valle d'Aosta,2630,0.67091836734693877,3920
Veneto,85600,0.73224978614200176,116900
