Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,11937,0.75862726406101044,15735
Basilicata,4537,0.57394054395951932,7905
Calabria,10709,0.41783066718689038,25630
Campania,60001,0.895270068636228,67020
Emilia-Romagna,65015,0.74091168091168091,87750
Friuli-Venezia Giulia,13822,0.56095779220779218,24640
Lazio,66420,0.7570956343326114,87730
Liguria,17045,0.55802913733835324,30545
Lombardia,66316,0.43140775435857404,153720
Marche,14130,0.796056338028169,17750
Molise,3227,0.655228426395939,4925
P.A. Bolzano,4795,0.34758970641536791,13795
P.A. Trento,7303,0.74142131979695436,9850
Piemonte,47335,0.57160970897234631,82810
Puglia,35874,0.7430405965202983,48280
Sardegna,14511,0.73734756097560972,19680
Sicilia,61526,0.78192794052233594,78685
Toscana,44487,0.85069318290467544,52295
Umbria,8833,0.89811896288764614,9835
Valle d'Aosta,1643,0.834010152284264,1970
Veneto,68480,0.87907573812580231,77900
