Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,2741,0.34543163201008192,7935
Basilicata,2109,0.42349397590361448,4980
Calabria,701,0.054110382091856424,12955
Campania,16602,0.49016829052258637,33870
Emilia-Romagna,15088,0.34388603988603988,43875
Friuli-Venezia Giulia,4963,0.41479314667781025,11965
Lazio,29217,0.63785612924353241,45805
Liguria,5293,0.3324748743718593,15920
Lombardia,9821,0.12185619455301197,80595
Marche,2984,0.3324791086350975,8975
Molise,358,0.12033613445378151,2975
P.A. Bolzano,1490,0.24854045037531275,5995
P.A. Trento,3367,0.67678391959799,4975
Piemonte,17795,0.4352451999510823,40885
Puglia,10371,0.40112163991491007,25855
Sardegna,965,0.0750680669000389,12855
Sicilia,19064,0.40989034616211567,46510
Toscana,15644,0.5603151862464183,27920
Umbria,2057,0.41471774193548389,4960
Valle d'Aosta,186,0.18693467336683417,995
Veneto,21626,0.55593830334190231,38900
