Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,4277,0.53900441083805928,7935
Basilicata,2871,0.57650602409638552,4980
Calabria,2738,0.21134697028174451,12955
Campania,23648,0.69819899616179515,33870
Emilia-Romagna,23890,0.54450142450142447,43875
Friuli-Venezia Giulia,6585,0.55035520267446725,11965
Lazio,35686,0.77908525270167017,45805
Liguria,7831,0.49189698492462314,15920
Lombardia,17256,0.21410757491159502,80595
Marche,4801,0.53493036211699163,8975
Molise,806,0.27092436974789919,2975
P.A. Bolzano,2283,0.38081734778982484,5995
P.A. Trento,3647,0.73306532663316581,4975
Piemonte,22691,0.55499571970160211,40885
Puglia,16069,0.62150454457551729,25855
Sardegna,2213,0.17215091404122909,12855
Sicilia,29258,0.6290690174156095,46510
Toscana,20971,0.75111031518624638,27920
Umbria,2913,0.58729838709677418,4960
Valle d'Aosta,336,0.33768844221105526,995
Veneto,28711,0.73807197943444736,38900
