Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,12659,0.80451223387353032,15735
Basilicata,4579,0.5792536369386464,7905
Calabria,10940,0.42684354272337105,25630
Campania,68138,1.0166815875857953,67020
Emilia-Romagna,71293,0.81245584045584041,87750
Friuli-Venezia Giulia,16819,0.68258928571428568,24640
Lazio,66773,0.76111934344010035,87730
Liguria,17447,0.57119004747094448,30545
Lombardia,69712,0.45349986989331253,153720
Marche,14130,0.796056338028169,17750
Molise,3227,0.655228426395939,4925
P.A. Bolzano,4999,0.36237767306995289,13795
P.A. Trento,7381,0.74934010152284269,9850
Piemonte,48257,0.5827436299963773,82810
Puglia,36551,0.757062966031483,48280
Sardegna,15979,0.81194105691056906,19680
Sicilia,61694,0.78406303615682782,78685
Toscana,44720,0.85514867578162346,52295
Umbria,8917,0.90665988815455012,9835
Valle d'Aosta,1643,0.834010152284264,1970
Veneto,68504,0.8793838254172015,77900
