Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,13404,0.68265851795263555,19635
Basilicata,4619,0.39127488352393053,11805
Calabria,10940,0.42684354272337105,25630
Campania,68138,0.922716500778658,73845
Emilia-Romagna,76076,0.77254125412541252,98475
Friuli-Venezia Giulia,16819,0.63253102670176753,26590
Lazio,71575,0.75696684469356457,94555
Liguria,19353,0.57821930086644757,33470
Lombardia,83092,0.533770154814672,155670
Marche,14489,0.81628169014084506,17750
Molise,3772,0.48050955414012742,7850
P.A. Bolzano,6078,0.29476236663433558,20620
P.A. Trento,7381,0.74934010152284269,9850
Piemonte,55075,0.66507668156019806,82810
Puglia,36808,0.49337175792507204,74605
Sardegna,17158,0.87184959349593494,19680
Sicilia,64905,0.82487132236131411,78685
Toscana,49716,0.95068362176116261,52295
Umbria,10057,1.0225724453482461,9835
Valle d'Aosta,1643,0.834010152284264,1970
Veneto,74504,0.956405648267009,77900
