Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,14341,0.73037942449707161,19635
Basilicata,4697,0.39788225328250743,11805
Calabria,12781,0.49867342957471711,25630
Campania,72103,0.97641004807366782,73845
Emilia-Romagna,80026,0.81265295760345269,98475
Friuli-Venezia Giulia,18628,0.70056412185031969,26590
Lazio,72244,0.76404209190418271,94555
Liguria,20225,0.60427248282043622,33470
Lombardia,85383,0.548487184428599,155670
Marche,14489,0.81628169014084506,17750
Molise,3784,0.48203821656050955,7850
P.A. Bolzano,6557,0.317992240543162,20620
P.A. Trento,7381,0.74934010152284269,9850
Piemonte,57292,0.69184881053012925,82810
Puglia,40039,0.53667984719522821,74605
Sardegna,17556,0.89207317073170733,19680
Sicilia,66847,0.84955201118383428,78685
Toscana,49716,0.95068362176116261,52295
Umbria,10267,1.0439247585155058,9835
Valle d'Aosta,1969,0.999492385786802,1970
Veneto,75214,0.96551989730423615,77900
