Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,3533,0.44524259609325773,7935
Basilicata,2337,0.46927710843373494,4980
Calabria,771,0.059513701273639523,12955
Campania,16602,0.49016829052258637,33870
Emilia-Romagna,18587,0.42363532763532763,43875
Friuli-Venezia Giulia,4963,0.41479314667781025,11965
Lazio,29678,0.64792053269293748,45805
Liguria,5505,0.34579145728643218,15920
Lombardia,11302,0.14023202431912649,80595
Marche,3444,0.38373259052924791,8975
Molise,358,0.12033613445378151,2975
P.A. Bolzano,2074,0.34595496246872393,5995
P.A. Trento,3367,0.67678391959799,4975
Piemonte,17795,0.4352451999510823,40885
Puglia,11153,0.43136724037903695,25855
Sardegna,965,0.0750680669000389,12855
Sicilia,19064,0.40989034616211567,46510
Toscana,15644,0.5603151862464183,27920
Umbria,2057,0.41471774193548389,4960
Valle d'Aosta,186,0.18693467336683417,995
Veneto,21626,0.55593830334190231,38900
