Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,19108,0.77960016319869441,24510
Basilicata,7692,0.55921483097055613,13755
Calabria,18579,0.47298879837067209,39280
Campania,102070,1.0091452864699195,101145
Emilia-Romagna,114045,0.86643874643874641,131625
Friuli-Venezia Giulia,29296,0.78509982580731608,37315
Lazio,102531,0.77335193845225525,132580
Liguria,31299,0.66424023769100171,47120
Lombardia,175593,0.74833471840439814,234645
Marche,23003,0.83647272727272726,27500
Molise,6191,0.70152974504249288,8825
P.A. Bolzano,17040,0.82638215324927256,20620
P.A. Trento,10186,0.6487898089171974,15700
Piemonte,102706,0.82988041370394316,123760
Puglia,56412,0.75614234970846461,74605
Sardegna,22869,0.68613861386138619,33330
Sicilia,93051,0.74153086026218273,125485
Toscana,68070,0.84485540523768154,80570
Umbria,13156,0.83876314950589737,15685
Valle d'Aosta,3333,0.85025510204081634,3920
Veneto,102364,0.87565440547476481,116900
