Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,2055,0.25897920604914931,7935
Basilicata,1912,0.38393574297188754,4980
Calabria,453,0.034967194133539173,12955
Campania,10745,0.31724239740183052,33870
Emilia-Romagna,8254,0.18812535612535614,43875
Friuli-Venezia Giulia,3471,0.29009611366485583,11965
Lazio,22914,0.500251064294291,45805
Liguria,2963,0.1861180904522613,15920
Lombardia,4026,0.049953471058998694,80595
Marche,1931,0.21515320334261839,8975
Molise,50,0.01680672268907563,2975
P.A. Bolzano,1406,0.23452877397831526,5995
P.A. Trento,2768,0.5563819095477387,4975
Piemonte,12722,0.31116546410664059,40885
Puglia,6964,0.26934828853219878,25855
Sardegna,392,0.030493971217425125,12855
Sicilia,11636,0.25018275639647386,46510
Toscana,10545,0.37768624641833809,27920
Umbria,1250,0.25201612903225806,4960
Valle d'Aosta,44,0.044221105527638194,995
Veneto,16027,0.41200514138817479,38900
