Regione,somministrazioni,percentuale,dosi_consegnate
Abruzzo,2498,0.31480781348456205,7935
Basilicata,2109,0.42349397590361448,4980
Calabria,701,0.054110382091856424,12955
Campania,16337,0.48234425745497489,33870
Emilia-Romagna,15088,0.34388603988603988,43875
Friuli-Venezia Giulia,4963,0.41479314667781025,11965
Lazio,29002,0.63316231852417859,45805
Liguria,4875,0.30621859296482412,15920
Lombardia,9167,0.11374154724238476,80595
Marche,2385,0.26573816155988855,8975
Molise,50,0.01680672268907563,2975
P.A. Bolzano,1490,0.24854045037531275,5995
P.A. Trento,3367,0.67678391959799,4975
Piemonte,17473,0.42736945089886269,40885
Puglia,10251,0.39648037130148905,25855
Sardegna,965,0.0750680669000389,12855
Sicilia,18705,0.40217157600516018,46510
Toscana,15644,0.5603151862464183,27920
Umbria,2057,0.41471774193548389,4960
Valle d'Aosta,186,0.18693467336683417,995
Veneto,21626,0.55593830334190231,38900
